Log, Field Name, Type, UDM Field, Type, Description
, , , metadata_vendor_name, , replace with 'Corelight'
, , , metadate_event_type, , replace with 'GENRIC_EVENT'
, _path, , metadata_product_event_type
, _system_name, , observer_hostname
, uid, string, metadata_product_log_id, , A unique identifier of the connection.
, fuid, string, metadata_product_log_id, , An identifier associated with a single file.
, id.orig_h, string, principal_ip, , The originator's IP address.
, id.orig_p, integer, principal_port, , The originator's port number.
, id.resp_h, string, target_ip, , The responder's IP address.
, id.resp_p, integer, target_port, , The responder's port number.
conn, , , metadata_event_type, , replace with 'NETWORK_CONNECTION'
conn, , , metadata_product_name, , replace with 'Zeek'
conn, ts, time, , , This is the time of the first packet.
conn, uid, string, metadata_product_log_id, , A unique identifier of the connection.
conn, id.orig_h, string, principal_ip, , The originator's IP address.
conn, id.orig_p, integer, principal_port, , The originator's port number.
conn, id.resp_h, string, target_ip, , The responder's IP address.
conn, id.resp_p, integer, target_port, , The responder's port number.
conn, proto, string, network_ip_protocol, , The transport layer protocol of the connection.
conn, service, string, network_application_protocol, , An identification of an application protocol being sent over the connection.
conn, duration, number, , , How long the connection lasted.  For 3-way or 4-way connection tear-downs - this will not include the final ACK.
conn, orig_bytes, integer, network_sent_bytes, uinteger, The number of payload bytes the originator sent. For TCP this is taken from sequence numbers and might be inaccurate (e.g. due to large connections).
conn, resp_bytes, integer, network_received_bytes, uinteger, The number of payload bytes the responder sent. See *orig_bytes*.
conn, conn_state, string, metadata_description, , The state of the connection.
conn, local_orig, boolean, , , If the connection is originated locally - this value will be T. If it was originated remotely it will be F.  In the case that the `Site::local_nets` variable is undefined - this field will be left empty at all times.
conn, local_resp, boolean, , , If the connection is responded to locally - this value will be T. If it was responded to remotely it will be F.  In the case that the `Site::local_nets` variable is undefined - this field will be left empty at all times.
conn, missed_bytes, integer, , , Indicates the number of bytes missed in content gaps - which is representative of packet loss.  A value other than zero will normally cause protocol analysis to fail but some analysis may have been completed prior to the packet loss.
conn, history, string, , , Records the state history of connections as a string of letters.  The meaning of those letters is:
conn, orig_pkts, integer, , , Number of packets that the originator sent. Only set if `use_conn_size_analyzer` = T.
conn, orig_ip_bytes, integer, , , Number of IP level bytes that the originator sent (as seen on the wire - taken from the IP total_length header field). Only set if `use_conn_size_analyzer` = T.
conn, resp_pkts, integer, , , Number of packets that the responder sent. Only set if `use_conn_size_analyzer` = T.
conn, resp_ip_bytes, integer, , , Number of IP level bytes that the responder sent (as seen on the wire - taken from the IP total_length header field). Only set if `use_conn_size_analyzer` = T.
conn, tunnel_parents, array[string], , , If this connection was over a tunnel - indicate the *uid* values for any encapsulating parent connections used over the lifetime of this inner connection.
conn, orig_cc, string, , , The name of the node where this connection was analyzed. Country code for GeoIP lookup of the originating IP address.
conn, resp_cc, string, , , Country code for GeoIP lookup of the responding IP address.
conn, suri_ids, array[string], , , The suri_ids information.
conn, spcap.url, string, , , The spcap.url information.
